ExpirationDate,DaysToExpiration,Strike,Call_Bid,Call_Ask,Put_Bid,Put_Ask
2026-12-18,238,55.0,97.8,97.8,0.16,2.23
2026-12-18,238,60.0,86.15,89.2,0.11,0.28
2026-12-18,238,65.0,90.62,90.62,0.04,0.42
2026-12-18,238,70.0,74.65,78.5,0.01,0.49
2026-12-18,238,75.0,80.32,80.32,0.19,0.57
2026-12-18,238,80.0,66.3,69.7,0.28,0.68
2026-12-18,238,85.0,61.45,64.55,0.41,0.8
2026-12-18,238,90.0,56.7,59.75,0.79,0.98
2026-12-18,238,95.0,52.0,55.0,1.02,1.21
2026-12-18,238,100.0,47.45,50.35,1.29,1.54
2026-12-18,238,105.0,43.0,45.95,1.54,1.95
2026-12-18,238,110.0,38.85,41.0,2.32,2.6
2026-12-18,238,115.0,34.3,37.15,2.7,3.35
2026-12-18,238,120.0,30.85,33.35,4.05,4.35
2026-12-18,238,125.0,27.15,29.15,5.1,5.5
2026-12-18,238,130.0,23.85,26.1,6.5,7.05
2026-12-18,238,135.0,20.5,22.85,8.15,8.7
2026-12-18,238,140.0,17.6,19.5,9.7,10.8
2026-12-18,238,145.0,15.15,16.4,11.95,13.15
2026-12-18,238,150.0,13.0,13.85,14.35,15.7
2026-12-18,238,155.0,10.85,11.8,16.25,18.6
2026-12-18,238,160.0,8.95,9.9,20.1,21.75
2026-12-18,238,165.0,7.4,9.0,22.9,25.3
2026-12-18,238,170.0,6.6,7.0,26.55,28.85
2026-12-18,238,175.0,5.05,5.95,30.5,32.85
2026-12-18,238,180.0,4.15,4.95,34.55,37.05
2026-12-18,238,185.0,3.45,4.4,38.8,41.45
2026-12-18,238,190.0,2.83,3.75,43.65,45.8
2026-12-18,238,200.0,2.01,2.46,52.35,55.25
2026-12-18,238,260.0,0.23,0.67,110.6,114.35
2027-01-15,266,50.0,94.6,97.7,0.01,0.14
2027-01-15,266,55.0,61.9,63.05,0.05,0.19
2027-01-15,266,60.0,84.55,88.5,0.36,0.38
2027-01-15,266,65.0,86.65,86.65,0.09,0.45
2027-01-15,266,70.0,76.25,79.55,0.11,0.53
2027-01-15,266,75.0,71.3,74.6,0.24,0.63
2027-01-15,266,80.0,66.4,69.6,0.41,0.75
2027-01-15,266,85.0,61.6,64.65,0.72,0.91
2027-01-15,266,90.0,56.9,59.8,0.99,1.11
2027-01-15,266,95.0,52.35,55.2,1.24,1.36
2027-01-15,266,100.0,47.9,50.55,1.56,1.78
2027-01-15,266,105.0,43.1,46.2,2.11,2.3
2027-01-15,266,110.0,39.25,41.9,2.7,2.89
2027-01-15,266,115.0,35.1,37.55,3.45,3.75
2027-01-15,266,120.0,31.3,33.55,4.55,4.75
2027-01-15,266,125.0,27.65,29.8,5.6,5.95
2027-01-15,266,130.0,24.45,26.9,7.3,7.45
2027-01-15,266,135.0,21.0,23.3,9.1,9.25
2027-01-15,266,140.0,18.35,20.65,10.95,11.15
2027-01-15,266,145.0,16.7,17.25,13.15,13.45
2027-01-15,266,150.0,14.25,14.8,15.35,16.05
2027-01-15,266,155.0,12.45,12.65,18.15,18.7
2027-01-15,266,160.0,10.5,10.75,21.1,22.2
2027-01-15,266,165.0,8.85,9.15,23.5,25.2
2027-01-15,266,170.0,7.35,7.75,27.6,29.3
2027-01-15,266,175.0,6.45,6.6,30.8,33.15
2027-01-15,266,180.0,5.45,5.6,34.9,37.2
2027-01-15,266,185.0,4.55,4.75,39.15,41.2
2027-01-15,266,190.0,3.7,4.05,43.5,46.2
2027-01-15,266,195.0,3.25,3.55,47.95,50.65
2027-01-15,266,200.0,2.58,2.94,52.55,55.2
2027-01-15,266,210.0,1.94,2.14,62.0,64.8
2027-01-15,266,220.0,1.4,1.63,73.05,75.7
2027-01-15,266,230.0,1.03,1.23,81.25,84.6
2027-01-15,266,240.0,0.97,0.98,91.0,94.5
2027-03-19,329,80.0,66.5,70.75,0.34,0.96
2027-03-19,329,90.0,57.0,60.4,0.69,1.69
2027-03-19,329,95.0,52.55,55.7,1.46,2.05
2027-03-19,329,105.0,43.8,47.0,2.48,3.5
2027-03-19,329,110.0,41.05,42.95,3.15,4.1
2027-03-19,329,115.0,35.65,39.0,4.25,5.65
2027-03-19,329,120.0,31.95,35.1,5.1,6.3
2027-03-19,329,125.0,29.0,31.55,6.2,8.1
2027-03-19,329,130.0,25.75,27.5,7.7,8.8
2027-03-19,329,135.0,21.95,24.55,8.5,11.0
2027-03-19,329,140.0,19.6,22.2,10.5,13.0
2027-03-19,329,145.0,17.15,19.4,13.6,15.1
2027-03-19,329,150.0,14.75,16.5,16.15,17.9
2027-03-19,329,155.0,12.8,15.05,18.15,21.35
2027-03-19,329,160.0,10.6,13.25,21.2,24.35
2027-03-19,329,165.0,9.45,11.05,24.55,27.45
2027-03-19,329,170.0,7.35,9.85,28.05,31.1
2027-03-19,329,175.0,6.75,8.9,31.8,34.85
2027-03-19,329,180.0,5.75,6.8,35.7,38.55
